rank,animal,power,category
577,Dromedary (Arabian) Camel,6.095562,non-mesozoic
578,Pygmy Killer Whale,6.071868,non-mesozoic
579,Sumatran Tigress,6.009130,non-mesozoic
580,Black Caiman (cow),5.958171,non-mesozoic
581,Eastern Gorilla (coalition of 2),5.909426,non-mesozoic
582,Great Hammerhead Shark,5.884446,non-mesozoic
583,African Lioness,5.881160,non-mesozoic
584,Nguni (Bull),5.846744,non-mesozoic
585,Haida Gwaii Black Bear,5.842613,non-mesozoic
586,Bali Tigress,5.801275,non-mesozoic
587,Caucasian Shepherd Dogs (5),5.741238,non-mesozoic
588,Brown Hyena (clan of 3),5.725519,non-mesozoic
589,Grevy's (Imperial) Zebra,5.693029,non-mesozoic
590,Sri Lankan Sloth Bear,5.632982,non-mesozoic
591,Muskox,5.627613,non-mesozoic
592,Epicyon haydeni,5.606365,non-mesozoic
593,African Forest Buffalo,5.593704,non-mesozoic
594,Shasta Ground Sloth,5.579904,non-mesozoic
595,Orca (Transient female),5.567623,non-mesozoic
596,Giant Freshwater Stingray (whipray),5.564627,non-mesozoic
597,Thalassocnus spp.,5.559902,non-mesozoic
598,American Black Bear,5.553838,non-mesozoic
599,African Wild Dog (pack of 5),5.548144,non-mesozoic
600,Porbeagle Shark,5.547078,non-mesozoic
601,Grey Wolf (pack of 3),5.546873,non-mesozoic
602,Asiatic Black Bear,5.544688,non-mesozoic
603,North American Jaguar,5.522532,non-mesozoic
604,Giant Warthog,5.445949,non-mesozoic
605,Neanderthal (armed with a spear),5.423935,non-mesozoic
606,Cuban Crocodile,5.420077,non-mesozoic
607,Indarctos oregonensis,5.417784,non-mesozoic
608,Black Marlin,5.406647,non-mesozoic
609,Archaic Human (armed with spear),5.363077,non-mesozoic
610,Clidastes propython,5.344321,mesozoic-other
611,Ichthyosaurus somersetensis,5.337502,mesozoic-other
612,Minmi paravertebra,5.333875,dinosaur
613,Gigantopithecus blacki,5.328145,non-mesozoic
614,Rottweilers (8),5.291358,non-mesozoic
615,Entelodon spp.,5.290874,non-mesozoic
616,Asiatic Lioness,5.269916,non-mesozoic
617,Water Buffalo,5.251417,non-mesozoic
618,Red Wolf (pack of 3),5.237017,non-mesozoic
619,Common Bottlenose Dolphin,5.206461,non-mesozoic
620,Malayan Tigress,5.186053,non-mesozoic
621,Cheetah (coalition of 3),5.127692,non-mesozoic
622,Smilodon gracilis,5.107413,non-mesozoic
623,Anzu wyliei,5.071891,dinosaur
624,Salmon Shark,5.040752,non-mesozoic
625,Ankalagon saurognathus,4.943254,non-mesozoic
626,Sumatran Tiger,4.942298,non-mesozoic
627,Jaguar,4.938265,non-mesozoic
628,Oceanic Whitetip Shark,4.914178,non-mesozoic
629,Blue Jay,4.904529,non-mesozoic
630,Collared Peccary (Javelina) (pack of 6),4.863320,non-mesozoic
631,Longfin Mako Shark,4.862923,non-mesozoic
632,Siamese Crocodile,4.791596,non-mesozoic
633,Jaguaress,4.787570,non-mesozoic
634,Dogo Argentino (pack of 5),4.717905,non-mesozoic
635,Highland Cattle Bull,4.689165,non-mesozoic
636,Arizonasaurus babbitti,4.687531,dinosaur
637,Protocyon troglodytes (pack of 2),4.668755,non-mesozoic
638,Brachycrus spp.,4.653148,non-mesozoic
639,Tibetan Mastiff (pack of 5),4.648135,non-mesozoic
640,Titanis walleri,4.615354,non-mesozoic
641,Dhole (Pack of 4/5),4.601769,non-mesozoic
642,Central Asian Shepherd Dog (Alabai) (pack of 3),4.554023,non-mesozoic
643,Pantanal Jaguar,4.501975,non-mesozoic
644,Pygmy Hippopotamus,4.495032,non-mesozoic
645,Ussuri Wild Boar,4.489810,non-mesozoic
646,Olive Baboon (Troop of 5),4.478315,non-mesozoic
647,Dimetrodon grandis,4.453901,non-mesozoic
648,Baikal Seal,4.445498,non-mesozoic
649,Megapiranha paranensis (shoal of 5),4.405421,non-mesozoic
650,Neapolitan Mastiffs (2),4.400046,non-mesozoic
651,Mexican Wolf (pack of 3),4.382683,non-mesozoic
652,Gobi Bear,4.359084,non-mesozoic
653,Western Lowland Gorilla,4.355345,non-mesozoic
654,South American Sea Lion,4.354320,non-mesozoic
